Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(бу)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 None	0.1006	0.001	1.0249	0.0	0.0	0.0	0.071	-5.587	-94.658	31.52	-417	-34	-210	None	None	None	None	None	None	None	None
 None	0.1001	0.0015	1.0244	0.0	0.0	0.0	0.071	-5.587	-94.658	31.5	-418	-33	-208	None	None	None	None	None	None	None	None
 None	0.1001	0.001	1.0244	0.0	0.0	0.0	0.071	-5.587	-94.653	31.46	-416	-33	-210	None	None	None	None	None	None	None	None
 None	0.1006	0.0005	1.0244	0.0	0.0	0.0	0.071	-5.581	-94.664	31.56	-415	-35	-208	None	None	None	None	None	None	None	None
 None	0.1001	0.0005	1.0244	0.0	0.0	0.0	0.066	-5.587	-94.664	31.51	-415	-34	-212	None	None	None	None	None	None	None	None
 None	0.1006	0.0005	1.0244	0.0	0.0	0.0	0.066	-5.587	-94.658	31.58	-416	-30	-211	None	None	None	None	None	None	None	None
 None	0.1006	0.001	1.0244	0.0	0.0	0.0	0.066	-5.587	-94.653	31.54	-416	-31	-212	None	None	None	None	None	None	None	None
 None	0.1001	0.0015	1.0249	0.0	0.0	0.0	0.066	-5.587	-94.653	31.62	-418	-32	-209	None	None	None	None	None	None	None	None
 None	0.1006	0.0015	1.0254	0.0	0.0	0.0	0.066	-5.587	-94.647	31.56	-417	-33	-209	None	None	None	None	None	None	None	None
 None	0.1001	0.0015	1.0249	0.0	0.0	0.0	0.066	-5.587	-94.653	31.58	-418	-35	-209	None	None	None	None	None	None	None	None
 None	0.1006	0.0015	1.0244	0.0	0.0	0.0	0.066	-5.587	-94.647	31.56	-417	-31	-208	None	None	None	None	None	None	None	None
 None	0.1006	0.001	1.0244	0.0	0.0	0.0	0.066	-5.587	-94.653	31.53	-415	-36	-211	None	None	None	None	None	None	None	None
 None	0.1001	0.0005	1.0249	0.0	0.0	0.0	0.066	-5.587	-94.675	31.51	-419	-32	-211	None	None	None	None	None	None	None	None
 None	0.1001	0.001	1.0249	0.0	0.0	0.0	0.066	-5.587	-94.669	31.64	-412	-29	-209	None	None	None	None	None	None	None	None
 None	0.1001	0.001	1.0244	0.0	0.0	0.0	0.06	-5.587	-94.664	31.52	-418	-34	-212	None	None	None	None	None	None	None	None
 None	0.1001	0.0005	1.0244	0.0	0.0	0.0	0.06	-5.587	-94.686	31.65	-416	-33	-213	None	None	None	None	None	None	None	None
 None	0.1001	0.0015	1.0244	0.0	0.0	0.0	0.06	-5.587	-94.686	31.55	-417	-31	-210	None	None	None	None	None	None	None	None
 None	0.1001	0.002	1.0239	0.0	0.0	0.0	0.06	-5.587	-94.68	31.58	-419	-34	-211	None	None	None	None	None	None	None	None
 None	0.1001	0.0015	1.0244	0.0	0.0	0.0	0.066	-5.587	-94.686	31.59	-417	-32	-210	None	None	None	None	None	None	None	None
 None	0.1006	0.001	1.0239	0.0	0.0	0.0	0.066	-5.587	-94.68	31.55	-418	-33	-210	None	None	None	None	None	None	None	None
 None	0.1006	0.0015	1.0239	0.0	0.0	0.0	0.066	-5.587	-94.68	31.56	-416	-32	-212	None	None	None	None	None	None	None	None
 None	0.1001	0.0015	1.0239	0.0	0.0	0.0	0.066	-5.587	-94.691	31.62	-414	-34	-213	None	None	None	None	None	None	None	None
 None	0.1001	0.0015	1.0244	0.0	0.0	0.0	0.066	-5.587	-94.686	31.58	-417	-32	-212	None	None	None	None	None	None	None	None
 None	0.1001	0.0015	1.0249	0.0	0.0	0.0	0.066	-5.587	-94.68	31.57	-418	-33	-211	None	None	None	None	None	None	None	None
 None	0.1006	0.001	1.0244	0.0	0.0	0.0	0.066	-5.587	-94.68	31.53	-416	-32	-212	None	None	None	None	None	None	None	None
 None	0.1011	0.002	1.0239	0.0	0.0	0.0	0.066	-5.587	-94.702	31.63	-417	-37	-211	None	None	None	None	None	None	None	None
 None	0.1011	0.0015	1.0244	0.0	0.0	0.0	0.066	-5.592	-94.724	31.63	-418	-33	-209	None	None	None	None	None	None	None	None
 None	0.1006	0.001	1.0249	0.0	0.0	0.0	0.066	-5.592	-94.73	31.65	-414	-32	-209	None	None	None	None	None	None	None	None
 None	0.1001	0.001	1.0249	0.0	0.0	0.0	0.066	-5.592	-94.73	31.65	-417	-34	-212	None	None	None	None	None	None	None	None
 None	0.1001	0.001	1.0244	0.0	0.0	0.0	0.066	-5.592	-94.741	31.6	-417	-34	-210	None	None	None	None	None	None	None	None
